soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
1310000,25.0,1835.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,995000.0,0.0,1955.0,4432.0,Right of residence,3.0,0.0,2021
2250000,24.9,1473.0,Alvhem,Göteborgs kommun,21.12,1.0,Apartment,1700000.0,0.0,1934.0,8086.0,Right of residence,2.0,0.0,2021
1830000,21.0,1120.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1750000.0,0.0,1988.0,4320.0,Right of residence,7.0,1.0,2021
212500,23.5,1475.0,Mäklarhuset,Falköpings kommun,21.95,1.0,Apartment,195000.0,0.0,1966.0,2520.0,Right of residence,3.0,1.0,2021
1400000,25.0,1818.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1095000.0,0.0,1955.0,4113.0,Right of residence,1.0,0.0,2021
638000,22.0,2195.0,Mäklarhuset,Strömstads kommun,21.91,1.0,Apartment,638000.0,0.0,1961.0,4400.0,Right of residence,1.0,0.0,2021
1740000,24.0,1581.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,1595000.0,0.0,1961.0,3700.0,Right of residence,3.0,1.0,2021
950000,22.0,1513.0,Svensk,Borås kommun,21.31,1.0,Apartment,795000.0,0.0,1935.0,2040.0,Right of residence,1.0,0.0,2021
1910000,24.5,1647.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1970.0,3619.0,Right of residence,1.0,1.0,2021
2500000,25.0,1174.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,2250000.0,0.0,1938.0,4104.0,Right of residence,6.0,1.0,2021
2150000,23.0,1932.0,MOHV,Göteborgs kommun,21.12,1.0,Apartment,2150000.0,0.0,1939.0,3343.0,Right of residence,1.0,1.0,2021
370000,25.0,3132.0,Fastighetsbyrån,Gullspångs kommun,22.49,3.0,Villa,350000.0,0.0,1961.0,20000.0,Right of ownership,2.0,0.0,2021
1650000,23.0,1893.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1595000.0,0.0,1935.0,3300.0,Right of residence,4.0,0.0,2021
1400000,21.0,1960.0,Bjurfors,Mölndals kommun,20.51,1.0,Apartment,1195000.0,0.0,1952.0,3300.0,Right of residence,3.0,0.0,2021
3100000,24.0,1303.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,2980000.0,1.0,1935.0,4400.0,Right of residence,4.0,1.0,2021
1400000,23.0,1066.0,Bjurfors,Mölndals kommun,20.51,1.0,Apartment,1450000.0,1.0,1964.0,4200.0,Right of residence,2.0,0.0,2021
2475000,23.0,2538.0,Svensk,Göteborgs kommun,21.12,1.5,Apartment,2475000.0,0.0,2020.0,4400.0,Right of residence,2.0,0.0,2021
935000,24.0,1468.0,Svensk,Borås kommun,21.31,1.0,Apartment,895000.0,0.0,1961.0,1200.0,Right of residence,1.0,0.0,2021
1100000,25.0,1954.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,995000.0,0.0,1960.0,3000.0,Right of residence,1.0,1.0,2021
